id,tsUnix,AN,CO,CO2,NH3,__rssi,pmx,pmy
1448621,1458097287005,0,158,181,14,31,2.2,0.3
1448634,1458097547950,0,154,181,14,31,3.6,0.7
1448646,1458097808339,0,161,182,14,31,1.6,0.2
1448659,1458098069289,0,166,181,14,31,2.0,0.5
1448671,1458098329984,0,164,180,14,31,2.0,0.3
1448685,1458098590642,0,161,180,14,31,2.5,0.5
1448698,1458098851381,0,163,180,14,31,1.0,0.1
1448710,1458099113325,0,160,181,14,31,2.9,0.5
1448723,1458099373549,0,160,179,14,31,0.7,0.0
1448736,1458099634593,0,170,180,15,31,1.6,0.2
1448747,1458099895794,0,167,179,15,31,2.5,0.3
1448762,1458100160008,0,162,180,14,31,1.2,0.0
1448777,1458100422222,0,167,179,14,31,1.9,0.5
1448791,1458100682826,0,163,179,15,31,1.2,0.1
1448806,1458100943402,0,160,181,15,31,0.8,0.0
1448821,1458101203829,0,153,180,15,31,2.7,0.3
1448836,1458101464229,0,162,179,16,31,2.0,0.3
1448849,1458101725859,0,166,180,15,31,1.0,0.0
1448863,1458101987073,0,164,179,15,31,1.8,0.4
1448877,1458102247829,0,159,180,15,31,1.0,0.1
1448887,1458102508256,0,158,181,15,31,0.7,0.1
1448900,1458102769263,0,161,181,15,31,1.0,0.0
1448916,1458103032973,0,171,181,15,31,1.0,0.1
1448929,1458103293477,0,166,181,15,31,1.0,0.4
1448944,1458103554377,0,160,181,15,31,2.0,0.2
1448957,1458103818074,0,158,181,16,31,0.9,0.0
1448971,1458104079026,0,165,181,16,31,0.5,0.0
1448987,1458104339995,0,156,181,16,31,1.7,0.0
1449002,1458104600548,0,164,181,16,31,1.8,0.1
1449014,1458104861630,0,162,183,16,31,1.3,0.0
1449028,1458105126885,0,173,182,16,31,1.2,0.3
1449041,1458105387289,0,161,181,16,31,1.3,0.3
1449057,1458105648147,0,167,182,16,31,0.9,0.0
1449070,1458105908769,0,158,181,16,31,1.6,0.4
1449084,1458106170914,0,163,181,16,31,1.6,0.3
1449099,1458106432467,0,161,182,17,31,1.8,0.3
1449117,1458106703958,0,165,181,16,31,0.6,0.1
1449131,1458106964976,0,161,181,16,31,0.9,0.1
1449144,1458107225498,0,161,181,16,31,0.8,0.2
1449159,1458107486432,0,159,182,16,31,0.7,0.2
1449174,1458107747280,0,161,181,16,31,1.5,0.3
1449191,1458108007849,0,166,182,16,31,0.8,0.0
1449209,1458108268496,0,165,181,16,31,1.0,0.2
1449225,1458108529933,0,155,181,16,31,2.1,0.3
1449242,1458108791341,0,161,181,16,31,1.3,0.1
1449256,1458109051947,0,165,181,16,31,0.8,0.1
1449273,1458109312519,0,158,182,16,31,0.6,0.1
1449288,1458109572946,0,160,182,16,31,1.0,0.2
1449305,1458109834143,0,167,181,16,31,0.8,0.1
1449322,1458110094987,0,162,181,16,31,1.0,0.4
1449336,1458110355883,0,157,181,17,31,1.9,0.3
1449353,1458110617429,0,163,181,17,31,1.1,0.3
1449369,1458110877862,0,157,181,16,31,0.2,0.0
1449385,1458111138543,0,161,181,17,31,1.1,0.0
1449401,1458111399580,0,169,181,17,31,1.6,0.4
1449418,1458111661895,0,159,181,16,31,1.3,0.3
1449438,1458111998739,0,174,182,16,31,0.3,0.1
1449456,1458112263985,0,165,181,16,31,0.4,0.0
1449473,1458112524721,0,169,181,16,31,0.9,0.1
1449489,1458112786348,0,165,181,17,31,1.0,0.1
1449505,1458113050377,0,158,182,16,31,0.7,0.0
1449521,1458113311393,0,162,182,16,31,0.5,0.1
1449539,1458113571966,0,157,181,16,31,1.2,0.0
1449552,1458113832883,0,163,182,17,31,1.4,0.2
1449568,1458114094200,0,161,181,17,31,0.9,0.0
1449581,1458114354966,0,165,182,16,31,2.2,0.2
1449596,1458114615412,0,158,181,17,31,1.3,0.3
1449615,1458114876044,0,161,182,17,31,1.6,0.7
1449631,1458115136758,0,161,182,17,31,0.8,0.1
1449648,1458115397269,0,161,181,17,31,1.5,0.3
1449665,1458115657980,0,167,181,17,31,1.2,0.0
1449680,1458115919721,0,159,181,17,31,1.4,0.4
1449700,1458116180287,0,163,182,17,31,1.7,0.0
1449714,1458116441571,0,161,182,17,31,1.4,0.2
1449731,1458116702136,0,168,183,17,31,1.1,0.1
1449747,1458116962700,1,157,182,17,31,1.0,0.0
1449765,1458117225252,0,161,182,16,31,0.7,0.0
1449783,1458117486425,0,165,183,17,31,1.3,0.1
1449800,1458117747177,0,166,181,17,31,0.9,0.3
1449816,1458118007966,0,156,181,17,31,1.2,0.2
1449833,1458118270130,0,159,182,17,31,0.9,0.1
1449850,1458118530519,0,181,182,17,31,1.6,0.1
1449868,1458118791626,0,160,182,17,31,0.8,0.0
1449883,1458119052206,0,164,182,17,31,1.7,0.2
1449901,1458119313061,0,159,182,17,31,0.6,0.0
1449920,1458119573649,0,160,183,17,31,1.7,0.4
1449936,1458119835154,0,163,184,17,31,1.5,0.5
1449951,1458120095559,0,160,182,17,31,1.3,0.1
1449966,1458120358128,0,153,185,17,31,0.5,0.0
1449984,1458120618536,0,163,183,17,31,1.4,0.0
1450001,1458120880660,0,161,184,17,31,1.3,0.2
1450018,1458121141632,0,162,184,17,31,1.0,99.0
1450036,1458121402863,0,150,183,17,31,1.3,0.3
1450054,1458121663946,0,163,183,17,31,1.9,0.6
1450069,1458121924627,0,158,184,17,31,0.6,0.2
1450085,1458122185300,0,163,184,17,31,0.3,0.0
1450102,1458122446232,0,156,183,17,31,0.6,0.0
1450119,1458122706676,0,162,184,17,31,1.0,0.0
1450137,1458122967591,0,160,183,17,31,1.5,0.0
1450153,1458123228626,0,163,183,17,31,1.2,0.2
1450170,1458123492762,0,159,183,17,31,0.7,0.0
1450185,1458123754171,0,155,183,17,31,0.5,0.1
1450204,1458124015483,0,161,183,17,31,0.6,0.0
1450221,1458124277912,0,171,183,17,31,2.0,0.4
1450238,1458124539445,0,157,183,17,31,1.9,0.5
1450254,1458124800962,0,158,182,17,31,1.4,0.3
1450271,1458125061598,0,159,184,17,31,0.6,0.0
1450286,1458125322108,0,162,183,17,31,1.7,0.5
1450302,1458125583136,0,167,183,17,31,1.3,0.1
1450318,1458125844241,0,158,181,18,31,3.0,0.8
1450336,1458126104592,0,165,182,17,31,1.5,0.3
1450353,1458126365223,0,169,182,17,31,1.8,0.7
1450370,1458126625902,0,156,181,17,31,0.5,0.0
1450386,1458126886666,0,171,181,17,31,1.3,0.2
1450403,1458127147101,0,167,181,17,31,1.8,0.3
1450419,1458127407741,0,163,183,17,31,1.7,0.4
1450437,1458127668041,0,167,182,17,31,1.2,0.1
1450451,1458127929222,0,161,183,17,31,2.1,0.0
1450466,1458128189582,0,158,182,17,31,1.9,0.4
1450482,1458128450365,0,165,183,17,31,0.8,0.0
1450497,1458128711309,0,164,182,18,31,2.3,0.8
1450512,1458128971632,0,170,182,17,31,2.0,0.3
1450530,1458129232283,0,155,182,17,31,0.9,0.1
1450544,1458129493052,0,169,182,17,31,2.2,0.8
1450561,1458129753825,0,166,183,17,31,0.3,0.0
1450576,1458130014163,0,162,183,17,31,1.5,0.3
1450591,1458130274732,0,159,183,17,31,2.2,0.3
1450608,1458130535146,0,162,184,17,31,1.8,0.2
1450625,1458130796227,0,163,183,18,31,1.6,0.3
1450640,1458131058465,0,158,183,17,31,1.8,0.3
1450656,1458131319484,0,162,183,17,31,1.2,0.1
1450672,1458131580249,0,168,183,17,31,2.4,0.5
1450691,1458131840887,0,163,185,18,31,3.3,1.0
1450708,1458132104345,0,159,184,17,31,2.8,0.5
1450725,1458132365664,0,161,184,18,31,2.8,0.7
1450739,1458132626174,0,165,184,17,31,3.5,0.5
1450754,1458132887417,0,166,185,17,31,3.2,0.8
1450772,1458133150503,0,169,187,17,31,2.7,0.4
1450787,1458133410898,0,171,192,18,31,1.2,0.0
1450803,1458133671789,0,163,195,17,31,2.0,0.4
1450818,1458133934585,0,163,192,17,31,2.0,0.4
1450832,1458134195060,0,163,192,17,31,2.5,0.2
1450849,1458134455575,0,164,197,17,31,1.6,0.1
1450866,1458134716206,0,166,197,17,31,0.9,0.0
1450881,1458134978480,0,168,197,17,31,1.2,0.0
1450897,1458135241584,0,169,197,17,31,2.5,0.4
1450912,1458135502018,0,160,198,17,31,1.7,0.3
1450928,1458135763837,0,158,196,17,31,2.5,0.5
1450946,1458136024388,0,155,196,17,31,3.0,0.8
1450960,1458136285792,0,161,198,17,31,1.9,0.2
1450976,1458136546650,0,160,199,17,31,1.2,0.1
1450995,1458136807331,0,163,197,17,31,1.4,0.0
1451011,1458137068459,0,161,200,17,31,3.1,0.6
1451026,1458137328935,0,161,198,17,31,1.8,0.6
1451058,1458137910217,0,164,205,17,31,2.0,0.3
1451076,1458138170662,0,169,206,17,31,2.2,0.4
1451090,1458138431883,0,155,209,17,31,2.1,0.3
1451107,1458138692849,0,160,207,17,31,3.1,0.2
1451126,1458138953698,0,160,208,17,31,2.1,0.3
1451141,1458139214977,0,160,213,17,31,1.9,0.4
1451161,1458139476057,0,160,214,17,31,3.1,0.9
1451178,1458139736640,0,158,209,16,31,2.7,0.5
1451194,1458139997606,0,169,208,16,31,1.6,0.3
1451211,1458140258377,0,165,199,17,31,2.9,0.4
1451227,1458140522085,0,163,199,17,31,2.1,0.3
1451244,1458140782916,0,167,199,17,31,4.4,0.6
1451262,1458141043500,0,160,195,17,31,2.1,0.2
1451279,1458141303899,0,160,196,17,31,2.4,0.2
1451297,1458141564228,0,157,194,17,31,2.6,0.5
1451315,1458141825386,0,167,189,17,31,0.9,0.0
1451331,1458142086839,0,160,186,16,31,1.5,0.1
1451347,1458142347978,0,162,185,17,31,1.2,0.2
1451364,1458142610145,0,161,183,17,31,0.8,0.1
1451384,1458142944745,0,165,182,17,31,1.6,0.1
1451403,1458143205994,0,169,182,17,31,1.8,0.3
1451420,1458143466534,0,161,183,17,31,2.3,0.9
1451436,1458143727022,0,157,182,17,31,1.7,0.2
1451453,1458143988603,0,162,182,17,31,1.7,0.2
1451467,1458144249038,0,164,184,17,31,1.2,0.2
1451482,1458144510383,0,160,183,17,31,1.5,0.3
1451501,1458144771009,0,158,184,17,31,0.5,0.1
1451516,1458145031494,0,160,185,17,31,0.7,0.0
1451534,1458145291902,0,161,184,16,31,2.5,0.6
1451551,1458145552184,0,162,184,17,31,2.5,0.2
1451568,1458145812599,0,168,183,17,31,1.6,0.0
