idnum,AN,CO,CO2,NH3,__rssi,pmx,pmy
1,0,166,190,18,31,1.5,0.5
2,0,167,189,19,31,1.4,0
3,0,155,189,19,31,4.1,0.3
4,0,162,188,19,31,3,0.7
5,0,161,186,19,31,2.6,0.1
6,0,166,184,18,31,2.1,0.2
7,0,165,184,19,31,2.4,0.3
8,0,161,184,18,31,1.2,0.1
9,0,163,183,19,31,1.6,0
10,0,159,184,18,31,1.6,0.4
11,0,156,184,19,31,1.1,0
12,0,165,182,18,31,1.4,0
13,0,157,183,19,31,1.6,0
14,0,162,183,19,31,1.4,0.1
15,0,161,183,19,31,0.7,0
16,0,170,182,18,31,0.6,0.1
17,0,169,183,19,31,0.5,0.1
18,0,165,183,19,31,1.1,0.1
19,0,163,183,19,31,1.8,0.5
20,0,172,182,18,31,1.2,0.2
21,0,159,182,19,31,1.7,0.4
22,0,165,182,19,31,1.9,0.1
23,0,159,182,19,31,1.2,0.3
24,0,167,182,19,31,0.8,0
25,0,159,183,19,31,1.9,0.1
26,0,160,184,19,31,6.3,1.3
27,0,165,184,18,31,1.1,0
28,0,153,183,18,31,1.1,0
29,0,164,183,18,31,1.3,0.1
30,0,159,184,18,31,1,0.1
31,0,166,184,18,31,0.6,0
32,0,157,183,18,31,1.3,0.1
33,0,167,184,18,31,1.3,0
34,0,158,184,18,31,1.3,0.4
35,0,166,185,18,31,1.4,0
36,0,161,185,18,31,0.8,0
37,0,160,184,18,31,1.9,0.5
38,0,161,184,18,31,0.5,0
39,0,154,185,17,31,1.4,0.2
40,0,160,184,18,31,0.6,0
41,0,170,184,18,31,0.9,0.2
42,0,165,184,17,31,0.4,0
43,0,170,184,18,31,1,0.2
44,0,163,183,18,31,1.4,0.2
45,0,159,183,18,31,0.7,0
46,0,160,184,18,31,0.7,0.2
47,0,160,182,18,31,1.8,0.2
48,0,162,183,17,31,1.1,0
49,0,163,183,17,31,0.5,0
50,0,160,184,18,31,1.5,0.3
51,0,159,184,18,31,0.3,0.1
52,0,162,184,18,31,0.6,0
53,0,154,184,17,31,1.4,0.3
54,0,161,184,17,31,0.8,0.1
55,0,163,183,18,31,1.2,0.1
56,0,169,183,18,31,0.9,0.3
57,0,165,183,18,31,1.2,0
58,0,162,184,17,31,1.5,0
59,0,162,184,17,31,0.7,0
60,0,170,183,17,31,0.9,0.1
61,0,165,183,17,31,0.4,0
62,0,162,183,17,31,1.1,0.1
63,0,156,183,17,31,0.7,0
64,0,173,184,17,31,0.9,0.1
65,0,167,185,17,31,0.9,0.2
66,0,161,183,18,31,1,0.2
67,0,160,183,18,31,0.3,0
68,0,158,184,17,31,0.6,0
69,0,160,183,17,31,1.3,0.2
70,0,165,184,17,31,1.5,0.3
71,0,155,183,17,31,1.3,0.1
72,0,166,183,17,31,0.9,0
73,0,165,185,18,31,1.4,0
74,0,161,184,17,31,1.3,0.4
75,0,156,184,17,31,0.9,0.1
76,0,163,183,17,31,1.3,0
77,0,163,183,17,31,1.1,0
78,0,158,183,17,31,2.2,0.6
79,0,161,184,17,31,1.1,0.1
80,0,163,183,17,31,0.9,0
81,0,166,184,17,31,1.3,0.1
82,0,167,183,17,31,1.4,0.2
83,0,161,184,17,31,0.4,0.1
84,0,160,184,17,31,0.7,0.2
85,0,163,183,16,31,1.7,0.4
86,0,160,184,17,31,0.9,0
87,0,159,183,17,31,1.8,0.7
88,0,165,182,16,31,0.5,0
89,0,164,181,17,31,0.4,0.1
90,0,165,182,16,31,0.4,0.2
91,0,164,183,17,31,0.9,0.3
92,0,167,182,17,31,0.1,0
93,0,163,181,17,31,0.3,0
94,0,155,183,16,31,1.7,0.2
95,0,163,181,16,31,0.6,0.1
96,0,161,181,17,31,0,0
97,0,164,181,17,31,0.8,0.1
98,0,167,182,16,31,0.6,0
99,0,160,182,17,31,0.7,0
100,0,167,182,16,31,0.6,0
101,0,163,181,16,31,0.3,0
102,0,155,182,17,31,0.5,0
103,0,165,182,16,31,0.6,0.2
104,0,160,181,17,31,0.3,0
105,0,164,181,17,31,0.8,0
106,0,157,182,17,31,0.7,0.1
107,0,161,182,16,31,0.6,0.1
108,0,167,181,17,31,1.1,0
109,0,167,180,17,31,0.6,0.1
110,0,160,182,17,31,1.2,0.2
111,0,163,181,17,31,0.5,0
112,0,153,180,17,31,0.3,0
113,0,166,182,17,31,0.6,0
114,0,154,181,17,31,0.9,0.4
115,0,170,181,17,31,0.8,0
116,0,169,181,17,31,0.5,0
117,0,159,180,17,31,0.7,0.1
118,0,168,180,17,31,0.6,0.1
119,0,158,181,17,31,1.4,0
